"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2018","53.550","51.390","56.770","51.030","306.81K","4.26%"
"Oct 14, 2018","51.360","53.050","53.350","51.100","69.59K","-3.19%"
"Oct 13, 2018","53.050","53.030","53.850","52.520","76.70K","0.04%"
"Oct 12, 2018","53.030","50.560","53.420","50.150","140.97K","4.91%"
"Oct 11, 2018","50.550","57.490","57.490","50.040","379.80K","-12.07%"
"Oct 10, 2018","57.490","58.430","58.460","56.850","94.55K","-1.61%"
"Oct 09, 2018","58.430","59.250","59.400","58.020","60.98K","-1.37%"
"Oct 08, 2018","59.240","57.900","59.790","57.360","104.61K","2.30%"
"Oct 07, 2018","57.910","57.710","58.220","56.850","53.90K","0.36%"
"Oct 06, 2018","57.700","58.490","58.670","56.700","62.33K","-1.32%"
"Oct 05, 2018","58.470","58.000","59.430","57.230","85.31K","0.81%"
"Oct 04, 2018","58.000","57.240","58.900","57.080","90.77K","1.31%"
"Oct 03, 2018","57.250","59.190","59.310","56.550","142.66K","-3.29%"
"Oct 02, 2018","59.200","60.210","61.300","58.600","110.01K","-1.69%"
"Oct 01, 2018","60.220","61.040","61.800","59.260","143.13K","-1.36%"
"Sep 30, 2018","61.050","61.450","62.970","59.760","136.16K","-0.70%"
"Sep 29, 2018","61.480","61.740","62.300","59.050","118.98K","-0.44%"
"Sep 28, 2018","61.750","63.100","64.680","60.120","181.45K","-2.15%"
"Sep 27, 2018","63.110","57.220","65.540","56.680","401.89K","10.31%"
"Sep 26, 2018","57.210","57.620","59.780","56.400","185.94K","-0.61%"
"Sep 25, 2018","57.560","58.000","58.070","54.330","251.89K","-0.66%"
"Sep 24, 2018","57.940","61.310","61.400","57.070","179.13K","-5.50%"
"Sep 23, 2018","61.310","60.530","63.470","59.830","157.91K","1.32%"
"Sep 22, 2018","60.510","60.830","61.680","58.110","153.43K","-0.53%"
"Sep 21, 2018","60.830","56.540","62.750","56.330","297.61K","7.55%"
"Sep 20, 2018","56.560","54.280","57.340","53.370","140.73K","4.20%"
"Sep 19, 2018","54.280","53.920","54.980","51.700","216.04K","0.52%"
"Sep 18, 2018","54.000","52.080","55.430","50.550","168.11K","3.75%"
"Sep 17, 2018","52.050","56.780","57.850","51.440","235.80K","-8.33%"
"Sep 16, 2018","56.780","56.290","57.450","54.450","112.08K","0.78%"
"Sep 15, 2018","56.340","56.330","58.730","55.550","116.72K","0.02%"
"Sep 14, 2018","56.330","54.600","58.900","52.970","279.34K","3.06%"
"Sep 13, 2018","54.660","51.600","55.290","51.600","261.45K","5.93%"
"Sep 12, 2018","51.600","51.970","52.080","47.190","310.31K","-0.75%"
"Sep 11, 2018","51.990","54.290","54.800","50.000","202.68K","-4.25%"
"Sep 10, 2018","54.300","54.860","56.480","53.050","128.64K","-0.75%"
"Sep 09, 2018","54.710","53.200","56.740","52.170","126.15K","2.84%"
"Sep 08, 2018","53.200","55.500","57.270","51.900","156.04K","-4.14%"
"Sep 07, 2018","55.500","57.510","58.500","55.010","148.97K","-3.44%"
"Sep 06, 2018","57.480","57.720","57.750","53.880","375.41K","-0.42%"
"Sep 05, 2018","57.720","67.820","68.350","57.420","362.47K","-14.80%"
"Sep 04, 2018","67.750","65.340","69.440","65.320","171.37K","3.64%"
"Sep 03, 2018","65.370","66.230","66.510","64.440","95.87K","-1.30%"
"Sep 02, 2018","66.230","66.440","66.850","64.100","126.43K","-0.36%"
"Sep 01, 2018","66.470","62.120","67.960","62.120","197.70K","6.99%"
"Aug 31, 2018","62.130","60.260","62.800","59.550","105.81K","3.12%"
"Aug 30, 2018","60.250","61.540","61.720","58.580","132.87K","-2.10%"
"Aug 29, 2018","61.540","63.170","63.430","60.270","143.13K","-2.60%"
"Aug 28, 2018","63.180","60.830","63.910","59.760","201.33K","4.09%"
"Aug 27, 2018","60.700","57.100","61.130","56.640","132.69K","6.29%"
"Aug 26, 2018","57.110","58.010","58.200","56.020","72.44K","-1.53%"
"Aug 25, 2018","58.000","57.950","58.360","57.080","60.27K","0.10%"
"Aug 24, 2018","57.940","57.390","58.350","55.640","108.80K","1.10%"
"Aug 23, 2018","57.310","55.240","57.900","55.010","111.02K","3.82%"
"Aug 22, 2018","55.200","56.390","59.210","54.010","254.55K","-2.11%"
"Aug 21, 2018","56.390","53.400","56.780","53.150","122.33K","5.62%"
"Aug 20, 2018","53.390","57.830","58.550","53.260","285.20K","-7.71%"
"Aug 19, 2018","57.850","57.390","58.980","56.400","95.28K","0.82%"
"Aug 18, 2018","57.380","61.820","62.600","55.660","159.88K","-7.17%"
"Aug 17, 2018","61.810","55.480","61.880","55.160","237.26K","11.43%"
"Aug 16, 2018","55.470","54.430","57.680","54.160","157.62K","1.89%"
"Aug 15, 2018","54.440","54.390","59.410","54.000","485.31K","0.09%"
"Aug 14, 2018","54.390","56.480","56.490","49.360","448.00K","-3.70%"
"Aug 13, 2018","56.480","59.430","60.600","55.720","176.49K","-4.98%"
"Aug 12, 2018","59.440","58.110","61.800","57.410","155.31K","2.31%"
"Aug 11, 2018","58.100","59.140","60.300","55.130","253.03K","-1.76%"
"Aug 10, 2018","59.140","63.070","63.360","58.100","213.65K","-6.25%"
"Aug 09, 2018","63.080","62.270","65.140","60.250","209.27K","1.30%"
"Aug 08, 2018","62.270","67.370","67.490","61.010","419.60K","-7.56%"
"Aug 07, 2018","67.360","73.610","75.050","66.600","213.07K","-8.45%"
"Aug 06, 2018","73.580","74.650","76.840","72.510","102.51K","-1.43%"
"Aug 05, 2018","74.650","73.030","74.710","72.410","70.53K","2.20%"
"Aug 04, 2018","73.040","77.600","78.000","72.350","115.87K","-5.88%"
"Aug 03, 2018","77.600","76.230","77.800","75.000","118.34K","1.80%"
"Aug 02, 2018","76.230","77.630","78.390","75.520","101.30K","-1.82%"
"Aug 01, 2018","77.640","78.890","79.070","75.970","132.40K","-1.53%"
"Jul 31, 2018","78.850","82.220","82.430","76.010","171.28K","-4.10%"
"Jul 30, 2018","82.220","83.940","84.700","79.760","126.13K","-2.04%"
"Jul 29, 2018","83.930","84.000","85.250","83.410","48.17K","-0.07%"
"Jul 28, 2018","83.990","84.520","84.700","82.510","53.22K","-0.63%"
"Jul 27, 2018","84.520","83.350","85.150","81.600","132.49K","1.27%"
"Jul 26, 2018","83.460","86.320","87.870","82.790","110.40K","-3.35%"
"Jul 25, 2018","86.350","88.990","90.600","84.820","165.83K","-3.03%"
"Jul 24, 2018","89.050","81.510","89.500","81.000","243.30K","9.24%"
"Jul 23, 2018","81.520","82.220","85.790","81.340","156.07K","-0.85%"
"Jul 22, 2018","82.220","83.500","83.970","81.810","72.01K","-1.65%"
"Jul 21, 2018","83.600","81.730","84.690","79.800","89.23K","2.30%"
"Jul 20, 2018","81.720","86.140","86.590","81.000","180.92K","-5.13%"
"Jul 19, 2018","86.140","86.280","88.900","85.010","131.44K","-0.15%"
"Jul 18, 2018","86.270","88.990","94.390","85.110","285.36K","-3.05%"
"Jul 17, 2018","88.980","83.510","90.070","81.550","247.49K","6.52%"
"Jul 16, 2018","83.530","78.510","84.000","77.800","150.84K","6.39%"
"Jul 15, 2018","78.510","76.200","79.250","75.360","83.46K","3.03%"
"Jul 14, 2018","76.200","76.680","77.440","75.680","68.59K","-0.63%"
"Jul 13, 2018","76.680","76.970","78.470","75.240","126.63K","-0.38%"
"Jul 12, 2018","76.970","78.320","78.350","74.500","134.36K","-1.76%"
"Jul 11, 2018","78.350","75.940","80.840","75.480","115.79K","3.16%"
"Jul 10, 2018","75.950","80.490","80.500","74.510","216.88K","-5.64%"
"Jul 09, 2018","80.490","82.240","83.070","80.020","113.71K","-2.08%"
"Jul 08, 2018","82.200","84.700","85.500","82.000","86.06K","-2.95%"
"Jul 07, 2018","84.700","82.960","85.200","79.420","106.88K","2.10%"
"Jul 06, 2018","82.960","83.300","84.010","80.760","94.24K","-0.40%"
"Jul 05, 2018","83.290","85.390","86.810","82.000","143.14K","-2.47%"
"Jul 04, 2018","85.400","84.990","88.950","83.510","122.62K","0.52%"
"Jul 03, 2018","84.960","85.460","89.990","84.010","227.47K","-0.57%"
"Jul 02, 2018","85.450","79.890","86.840","78.320","193.71K","6.97%"
"Jul 01, 2018","79.880","81.010","81.390","77.720","93.07K","-1.39%"
"Jun 30, 2018","81.010","78.940","84.290","78.940","175.46K","2.62%"
"Jun 29, 2018","78.940","74.260","80.480","72.500","252.05K","6.32%"
"Jun 28, 2018","74.250","80.730","81.200","74.010","185.52K","-8.04%"
"Jun 27, 2018","80.740","75.800","81.810","74.910","200.50K","6.50%"
"Jun 26, 2018","75.810","81.670","82.520","75.370","173.42K","-7.18%"
"Jun 25, 2018","81.670","80.580","84.480","78.800","228.69K","1.31%"
"Jun 24, 2018","80.610","83.210","83.750","73.460","399.95K","-3.12%"
"Jun 23, 2018","83.210","85.030","87.110","81.590","152.54K","-2.13%"
"Jun 22, 2018","85.020","96.690","96.790","80.320","401.41K","-12.07%"
